Query ID,Mean clip_score,Std Dev,Count
query_015,4.794268883191622,0.5481399774214956,13
query_021,4.725979621593769,0.793178744065296,13
query_001,4.712901243796716,0.3926042740500518,13
query_013,4.560648367955134,0.7716796457683062,13
query_066,4.540122839120718,0.636266190229798,13
query_018,4.495648310734675,0.78312810108771,13
query_041,4.435763615828294,0.8451430101756036,13
query_012,4.356864892519438,1.1341621063276326,13
query_037,4.354158291449914,1.079207884487346,13
query_054,4.318021132395818,0.9078712955826947,13
query_050,4.316311396085299,0.966518755990781,13
query_053,4.293988484602708,1.1466113101854445,13
query_036,4.292536973953247,0.8235810078602217,13
query_006,4.250243324499864,0.9919637353842528,13
query_032,4.165850263375503,1.2713109187672478,13
query_052,4.1061428143427925,0.8256674768960398,13
query_059,4.0569565479572,1.040527046078927,13
query_014,4.031704370792095,0.9500276624448697,13
query_009,4.017782385532673,1.0330170830071372,13
query_022,4.006571256197416,1.1269934675764017,13
query_020,3.9836298869206357,0.9430119270616257,13
query_069,3.9744023909935584,0.9070325042565505,13
query_074,3.973512429457444,0.8094190814790481,13
query_060,3.967736840248108,1.0050493303548163,13
query_057,3.956279681279109,0.9373423454081844,13
query_095,3.9489673467782826,0.47865558702631616,13
query_051,3.9175407336308408,1.2054431254174698,13
query_035,3.917220482459435,0.8594110871358914,13
query_003,3.91450075002817,1.1315028384859869,13
query_046,3.90217924118042,0.5668543022613483,13
query_067,3.895796904197106,0.9367542766979282,13
query_029,3.8832976818084717,1.2179631945097757,13
query_068,3.878267214848445,1.1382596421659494,13
query_042,3.865630892606882,1.5405466602830087,13
query_083,3.8492622650586643,1.0372252474324108,13
query_075,3.8461817044478197,0.9042197488925581,13
query_016,3.84045043358436,1.0177662007407755,13
query_030,3.817228207221398,1.4737019718219422,13
query_017,3.8112346025613637,0.9511469313457503,13
query_011,3.797776589026818,0.9754442790733289,13
query_092,3.7895416296445408,0.5089256642204788,13
query_093,3.763151480601384,0.5162852250602977,13
query_045,3.7598019196436954,1.4310063911409918,13
query_008,3.7487691915952244,0.8234275597278081,13
query_087,3.747426069699801,0.5069626419293627,13
query_033,3.7395227138812723,1.112181057359207,13
query_024,3.72068805877979,1.232952322054441,13
query_070,3.7089704000032864,1.0246671631236168,13
query_031,3.703379722741934,1.4854015696218668,13
query_044,3.686391069338872,1.5987500984492917,13
query_085,3.6775325261629543,1.0900172454742438,13
query_043,3.6702648859757643,1.413506068375689,13
query_055,3.6623541666911197,1.3264050339850173,13
query_065,3.655263203840989,1.1622403794243812,13
query_005,3.6310278268960805,0.6731182951038793,13
query_019,3.6288193739377537,0.925140398514461,13
query_061,3.6151785162779,1.5040590233163136,13
query_010,3.573214223751655,1.3314038239524355,13
query_007,3.553634533515343,1.0988959309842008,13
query_090,3.5526671684705295,1.0439185776953013,13
query_098,3.547945737838745,0.6946270166091274,13
query_062,3.5351250034112196,1.5697497395573603,13
query_058,3.525455355644226,1.0480085381637707,13
query_080,3.5167092084884644,0.9699813049036548,13
query_034,3.4993054408293505,1.1116627355395488,13
query_086,3.481110316056472,0.8416705720086748,13
query_084,3.4498338882739725,0.8756324342071783,13
query_056,3.4395776207630453,1.4023895049129629,13
query_039,3.416796427506667,0.656419880543797,13
query_100,3.3614805478316088,1.001168477052506,13
query_078,3.3291812860048733,0.8446346763177297,13
query_027,3.3082991334108205,1.2629600536407888,13
query_096,3.2802986731896033,0.6801875320926866,13
query_026,3.2529659821436954,1.2880151488311478,13
query_063,3.2245093767459574,1.8501728523553311,13
query_072,3.2164553220455465,1.2827204920310786,13
query_028,3.1967046077434835,1.3414230997845709,13
query_049,3.1613313876665554,1.7277362290999259,13
query_040,3.1572978038054247,1.0479623011873478,13
query_099,3.141120048669668,1.0504363573373974,13
query_077,3.1395322542924147,1.0956303453601721,13
query_025,3.138388285270104,1.1210989005087273,13
query_079,3.135387686582712,1.227771525662352,13
query_002,3.1231895134999204,1.0129757620975104,13
query_071,3.097774478105398,0.9321502424864047,13
query_088,3.0280898763583255,0.9504799205886793,13
query_023,3.023056681339557,1.2767126193975733,13
query_048,3.020044670655177,1.949975191013094,13
query_097,3.0176142224898705,0.8482829228067318,13
query_094,3.0157713339878964,0.620400916559285,13
query_004,3.001117522899921,0.7506092064083654,13
query_047,2.9966964629980235,1.6869356172288685,13
query_076,2.9649515518775353,0.958594292832949,13
query_081,2.941200375556946,1.2556030721176752,13
query_038,2.9038418256319485,0.8777539861707722,13
query_073,2.868884334197411,1.1324196911711915,13
query_064,2.7578740303332987,1.0782666278128865,13
query_091,2.647769286082341,1.1614556648377339,13
query_089,2.6272953015107374,1.0858243988192962,13
query_082,1.9266895239169781,0.9058180152915064,13
