Tag,Count
horizon_visible,818
sky_dominant,812
background_mountains,770
daylight,768
forest,757
no_flame_visible,732
foreground_trees,723
smoke_present,689
rising_plume,669
fixed_camera,584
no_smoke_visible,578
long_range_view,577
reduced_visibility,531
columnar_plume,472
low_contrast,460
canopy_level_smoke,431
good_visibility,430
smoke_source_visible,375
active_fire_suspected,363
night,353
fog_present,342
mountainous,301
single_plume,295
thermal_like,283
foreground_terrain,276
dense_smoke,243
conifer_forest,241
marine_layer_present,236
billowing_plume,222
clouds_present,219
flame_visible,214
wide_angle_view,189
glow_visible,172
ir_nir_imagery,151
aerial_view,143
overcast,140
backlit,139
white_smoke,130
valley,126
stable_frame,117
hills,113
sensor_noise,111
low_resolution,109
ground_dominant,109
clear_air,107
high_contrast,106
plume_intensifying_suspected,101
ridgeline,99
multiple_plumes,92
smoke_source_not_visible,92
